Ranking,Name,Rating
9.2,The Shawshank Redemption,9.2
9.2,The Godfather,9.2
9.0,The Dark Knight,9.0
9.0,The Godfather Part II,9.0
9.0,12 Angry Men,9.0
8.9,Schindler's List,8.9
8.9,The Lord of the Rings: The Return of the King,8.9
8.8,Pulp Fiction,8.8
8.8,The Lord of the Rings: The Fellowship of the Ring,8.8
8.8,The Good the Bad and the Ugly,8.8
8.8,Forrest Gump,8.8
8.8,Spider-Man: Across the Spider-Verse,8.8
8.7,Fight Club,8.7
8.7,The Lord of the Rings: The Two Towers,8.7
8.7,Inception,8.7
8.7,Star Wars: Episode V - The Empire Strikes Back,8.7
8.7,The Matrix,8.7
8.7,Goodfellas,8.7
8.6,One Flew Over the Cuckoo's Nest,8.6
8.6,Se7en,8.6
8.6,It's a Wonderful Life,8.6
8.6,Seven Samurai,8.6
8.6,The Silence of the Lambs,8.6
8.6,Saving Private Ryan,8.6
8.6,City of God,8.6
8.6,Interstellar,8.6
8.6,Life Is Beautiful,8.6
8.6,The Green Mile,8.6
8.5,Star Wars: Episode IV - A New Hope,8.5
8.5,Terminator 2: Judgment Day,8.5
8.5,Back to the Future,8.5
8.5,Spirited Away,8.5
8.5,The Pianist,8.5
8.5,Psycho,8.5
8.5,Parasite,8.5
8.5,Léon: The Professional,8.5
8.5,The Lion King,8.5
8.5,Gladiator,8.5
8.5,American History X,8.5
8.5,The Departed,8.5
8.5,Whiplash,8.5
8.5,The Prestige,8.5
8.5,The Usual Suspects,8.5
8.5,Casablanca,8.5
8.5,Grave of the Fireflies,8.5
8.5,Harakiri,8.5
8.5,The Intouchables,8.5
8.4,Modern Times,8.4
8.4,Once Upon a Time in the West,8.4
8.4,Cinema Paradiso,8.4
8.4,Rear Window,8.4
8.4,Alien,8.4
8.4,City Lights,8.4
8.4,Apocalypse Now,8.4
8.4,Memento,8.4
8.4,Django Unchained,8.4
8.4,Indiana Jones and the Raiders of the Lost Ark,8.4
8.4,WALL·E,8.4
8.4,The Lives of Others,8.4
8.4,Sunset Blvd.,8.4
8.4,Paths of Glory,8.4
8.4,Avengers: Infinity War,8.4
8.4,The Shining,8.4
8.4,The Great Dictator,8.4
8.4,Witness for the Prosecution,8.4
8.4,Spider-Man: Into the Spider-Verse,8.4
8.3,Aliens,8.3
8.3,American Beauty,8.3
8.3,The Dark Knight Rises,8.3
8.3,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.3
8.3,Inglourious Basterds,8.3
8.3,Oldboy,8.3
8.3,Coco,8.3
8.3,Amadeus,8.3
8.3,Toy Story,8.3
8.3,Braveheart,8.3
8.3,Das Boot,8.3
8.3,Joker,8.3
8.3,Avengers: Endgame,8.3
8.3,Princess Mononoke,8.3
8.3,Good Will Hunting,8.3
8.3,Once Upon a Time in America,8.3
8.3,Your Name.,8.3
8.3,3 Idiots,8.3
8.3,Singin' in the Rain,8.3
8.3,High and Low,8.3
8.3,Requiem for a Dream,8.3
8.3,Capernaum,8.3
8.3,Toy Story 3,8.3
8.3,Star Wars: Episode VI - Return of the Jedi,8.3
8.3,Come and See,8.3
8.3,Eternal Sunshine of the Spotless Mind,8.3
8.3,2001: A Space Odyssey,8.3
8.3,The Hunt,8.3
8.3,Reservoir Dogs,8.3
8.2,Lawrence of Arabia,8.2
8.2,Citizen Kane,8.2
8.2,Ikiru,8.2
8.2,M,8.2
8.2,North by Northwest,8.2
8.2,The Apartment,8.2
8.2,Vertigo,8.2
8.2,Amélie,8.2
8.2,Double Indemnity,8.2
8.2,A Clockwork Orange,8.2
8.2,Full Metal Jacket,8.2
8.2,Scarface,8.2
8.2,Hamilton,8.2
8.2,Incendies,8.2
8.2,Heat,8.2
8.2,Up,8.2
8.2,To Kill a Mockingbird,8.2
8.2,The Sting,8.2
8.2,A Separation,8.2
8.2,Metropolis,8.2
8.2,Die Hard,8.2
